提供機關名稱,資料集名稱,瀏覽次數,下載次數,資料集評分,上架日期
文化部,蒙藏補助團體私人情形季報表,"7,681","1,103",100,2013/03/18
文化部,西藏統計資料,"5,844",834,,2013/03/18
文化部,蒙古統計資料,"4,409",360,,2013/03/18
文化部,蒙藏性別主流化訓練統計表,"4,327",373,80,2013/03/18
文化部,獨立音樂,"27,541","22,836",40,2013/03/27
文化部,徵選活動,"7,652","9,460",60,2013/03/27
文化部,競賽活動,"9,220","10,294",,2013/03/27
文化部,綜藝活動,"9,279","11,731",100,2013/03/27
文化部,電影,"38,500","26,568",60,2013/03/27
文化部,講座資訊,"9,888","11,650",60,2013/03/27
文化部,展覽資訊,"59,825","49,445",40,2013/03/27
文化部,演唱會,"21,572","19,484",100,2013/03/27
文化部,親子活動,"16,130","22,563",40,2013/03/27
文化部,舞蹈表演資訊,"44,761","31,598",100,2013/03/27
文化部,戲劇表演資訊,"49,467","10,131",80,2013/03/27
文化部,音樂表演資訊,"52,093","13,864",80,2013/03/27
文化部,其他藝文資訊,"36,607","9,304",100,2013/03/27
文化部,文化部公共藝術,"36,475","19,230",80,2013/07/08
文化部,文化行政據點,"4,072",418,,2013/07/08
文化部,特色圖書館,"5,119","1,383",80,2013/07/08
文化部,文創商店,"7,184","1,315",20,2013/07/08
文化部,獨立書店,"12,027","4,715",100,2013/07/08
文化部,博物館,"8,194","1,757",,2013/08/30
文化部,文化部社區,"10,796","1,461",20,2013/08/30
文化部,地方文化館,"6,649",835,100,2013/08/30
文化部,藝文活動-所有類別,"6,076","1,820",100,2013/10/25
文化部,蒙古檢察官司法研習班統計表,"2,064",138,,2013/11/26
文化部,蒙古法官司法研習班統計表,"1,741",126,,2013/11/26
文化部,蒙古警察警政研習班統計表,"1,981",120,,2013/11/26
文化部,蒙藏文物展覽參觀人數統計表,"2,199",128,,2013/11/26
文化部,蒙藏籍學生蒙藏語文班上課人數統計表,"1,831",107,,2013/11/26
文化部,蒙藏文化中心臉書瀏覽人數統計表,"1,975",135,,2013/11/26
文化部,蒙藏性別年齡統計表,"1,718",117,,2013/11/26
文化部,最新蒙藏重要訊息,"1,542",125,,2013/11/26
文化部,在台蒙胞人數統計表,"2,013",121,,2013/12/04
文化部,蒙藏ㄧ般文物統計表,"1,632",113,,2013/12/04
文化部,蒙藏珍貴文物統計表,"1,669",117,,2013/12/04
文化部,輔導蒙藏族人口地域分布性別統計表,"2,178",145,,2013/12/04
文化部,輔導蒙藏族人口年齡層性別統計表,"2,030",155,80,2013/12/04
文化部,蒙藏族輔導成果統計表,"1,913",129,,2013/12/04
文化部,蒙藏人才之培育及工作績效統計表,"1,780",133,,2013/12/04
文化部,蒙藏業務支出統計表,"1,875",130,,2013/12/04
文化部,蒙藏辦理人民申請提供政府資訊案件統計表,"1,982",148,,2013/12/04
文化部,蒙藏委員會內部各委員會、任務編組及財團法人之性別統計表,"1,826",135,,2013/12/04
